,H9_NSC_NA_p4.2,H9_NSC_NA_p4.3,H9_NSC_NA_p4.4,H9_hESC_NA_p10,H9_hESC_NA_p11,H9_hESC_NA_p12,H9_CNCC_A2_p16,H9_CNCC_B4_p17,H9_CNCC_B3_p19,H9_hESC_NA_p3,H9_hESC_NA_p2,H9_NSC_NA_p4.1
ENSG00000000003.14_TSPAN6,446.69,856.59,1275.51,1021.24,840.25,895.6,1997.74,2196.97,1926.74,3508.17,1380.5,1098.38
ENSG00000000005.5_TNMD,14,5,33,37,28,19,0,0,0,82,53,8
ENSG00000000419.12_DPM1,114,225,283,325,367,349,510,498,548,1780,514,329
ENSG00000000457.13_SCYL3,29.9,102.98,117.23,46.6,72.22,106.7,94.65,73.97,85.57,429.79,100.3,134.57
ENSG00000000460.16_C1orf112,116.35,222.85,355.08,215.24,278.99,317.83,452.31,458.74,550.21,1227.13,375.97,328
ENSG00000000938.12_FGR,0,2,0,0,4,3,0,0,0,11,3,0
ENSG00000000971.15_CFH,2,1,0,0,0,0,0,0,0,0,0,4
ENSG00000001036.13_FUCA2,191.7,360.54,505.75,576.24,653.24,588.39,530.54,573.47,550.62,2800.18,892.09,490.05
ENSG00000001084.11_GCLC,55.84,142.99,197.64,495.01,395.81,427.08,291.13,214,253,2138.14,866.4,152.11
ENSG00000001167.14_NFYA,351.91,668,967,481,512,470.93,924,984,883,1841.61,767.82,795
ENSG00000001460.17_STPG1,8.03,12.35,24.34,45.93,132.2,147.67,44,58,63.08,879.25,122.08,22.51
ENSG00000001461.16_NIPAL3,12.2,17.13,31.01,78.83,90.74,93.89,31.43,24.88,19.8,523.53,227.02,23.48
ENSG00000001497.16_LAS1L,203,404,559,813,765,852,845,781,875,3880,1100,587
ENSG00000001561.6_ENPP4,3,8,6,34,43,56,5,3,0,298,57,8
ENSG00000001617.11_SEMA3F,2,7,8,179,404,451,332,240,259,2188,313,4
ENSG00000001626.14_CFTR,0,0,2,15,7,3,0,0,0,30,12,2.02
ENSG00000001629.9_ANKIB1,151,282,368,430,520,465,185,200,159,2230,734,459
ENSG00000001630.15_CYP51A1,389.99,754.4,1014.96,1792.13,1249,1250.54,1744.56,1876.38,2092.09,5698.66,1981.6,791.84
ENSG00000001631.15_KRIT1,140.15,243.32,300.61,128.88,293.02,228.5,194.06,154.76,186.85,1317.86,422.51,376.46
ENSG00000002016.17_RAD52,21,70.01,88.1,37.58,84.97,52.58,33.3,20,44.91,364.11,136.1,114.19
ENSG00000002079.14_MYH16,1,0,0,0,0,0,0,0,0,2,0,0
ENSG00000002330.13_BAD,171,356,414,149,138.09,186,359.49,341,349,630.31,200.82,367
ENSG00000002549.12_LAP3,152,331.63,401,584,526,477,934,823.85,914.61,2395.86,775,405.62
ENSG00000002586.19_CD99,487.5,1041.02,1500.5,253,346.5,366.51,639.5,573,665,1822.5,462.5,1343
ENSG00000002586.19_PAR_Y_CD99,487.5,1041.02,1500.5,253,346.5,366.51,639.5,573,665,1822.5,462.5,1343
ENSG00000002587.9_HS3ST1,4.09,5.05,7.04,5.09,8.05,9.13,0,0,0,54.78,4.15,3.52
ENSG00000002726.20_AOC1,0,0,0,1.99,4,1.52,0,0,0,9.36,5,0
ENSG00000002745.12_WNT16,0,0,0,1,3,4,1,0,2,6,0,0
ENSG00000002746.14_HECW1,3.08,1,1.73,40.96,51.28,41.65,1.24,0,0,182.79,50.6,6.75
ENSG00000002822.15_MAD1L1,158,269,392,210,161,289.85,278.33,107,179.97,1216.19,321.66,348.5
ENSG00000002834.17_LASP1,1055.86,2249.64,3099.13,2411.4,2475.07,2684.99,2421.27,2556.01,2336.94,11395.06,3293.33,2631.73
ENSG00000002919.14_SNX11,83,191.37,217.59,187.87,229,262,239.71,231,189.66,1053.86,339.67,241
ENSG00000002933.7_TMEM176A,0,0,0,2,8,5,0,0,0,11,5,0
ENSG00000003056.7_M6PR,365.1,667.23,999.94,1107.14,1015.68,1131.58,1033.21,999.19,1227.84,4654.88,1572.34,884.23
ENSG00000003096.14_KLHL13,63.63,143,248,140.45,195.46,162.91,261.01,276,312.01,920.42,244.88,218.83
ENSG00000003137.8_CYP26B1,0,0,0,2,2,2,19,15,22,14,1,0
ENSG00000003147.17_ICA1,14.36,45,33,165,270,231.43,3.1,3,7,1485.6,365.06,35
ENSG00000003249.13_DBNDD1,3.01,12,15.03,482,456.65,570.53,31,34,42,2222.89,728.91,8
ENSG00000003393.14_ALS2,232.87,494.01,707.98,388.83,662.7,679.09,392.99,368.1,425,3080.38,731.45,662.62
ENSG00000003400.14_CASP10,2.75,2.91,8.02,38.37,48.18,73.7,3.41,0,0,309.86,59.73,4.88
ENSG00000003402.19_CFLAR,73.98,107.37,152.94,78.61,138.23,131.24,10.35,12.93,42.33,714.5,189.06,185.92
ENSG00000003436.15_TFPI,95.2,197.07,392,25.55,32.25,44.57,67.82,48.86,46.16,128.16,50.15,311.54
ENSG00000003509.15_NDUFAF7,48.97,116.82,159.34,255.03,318.57,267.08,171.64,86.35,167.35,1511.39,301.71,181.28
ENSG00000003756.16_RBM5,383.91,864.78,1029.7,404.57,775.91,461.64,455.38,412.67,418.66,2852.15,1048.19,1224.93
ENSG00000003987.13_MTMR7,7,10,5.51,67.86,84.55,75.65,18.73,12,21,405.49,112,12
ENSG00000003989.17_SLC7A2,10,41,75.01,226,327,322,789,855,851,1535.41,313,53
ENSG00000004059.10_ARF5,576.8,1355.55,1685.49,1160.24,1216,1441,1557,1398,1172.78,5475.22,1650.4,1564
ENSG00000004139.13_SARM1,236.37,431.1,655.26,149.64,133.49,148.23,316.59,310.78,369.9,604.54,256.3,648.48
ENSG00000004142.11_POLDIP2,357,738,993,1273,996,1100,1441,1442,1664,4465,1611,888
ENSG00000004399.12_PLXND1,411,879,1312,207,574,693,592,486,331,2882,537,979
ENSG00000004455.16_AK2,414,824,1021,898.94,888,801.46,1700,1524,1700,4266.86,1446,1143
