,H9_NSC_NA_p4.2,H9_NSC_NA_p4.3,H9_NSC_NA_p4.4,H9_hESC_NA_p10,H9_hESC_NA_p11,H9_hESC_NA_p12,H9_CNCC_A2_p16,H9_CNCC_B4_p17,H9_CNCC_B3_p19,H9_hESC_NA_p3,H9_hESC_NA_p2,H9_NSC_NA_p4.1
ENSG00000000003.14_TSPAN6,53.61,80.78,82.82,84.43,67.57,65.18,113.83,127,110,56.425,57.185,77.58
ENSG00000000005.5_TNMD,2.91,1.23,3.63,7.26,5.93,2.36,0,0,0,3.3775,5.055,0.96
ENSG00000000419.12_DPM1,33.71,47.16,39.87,56.74,68.44,57.35,61.25,61.24,71.44,65.915,47.15,49.32
ENSG00000000457.13_SCYL3,2.43,5.33,5.62,2.17,4.15,4.55,3.2,2.43,3.43,4.8925,2.735,6.66
ENSG00000000460.16_C1orf112,11.97,16.63,21.05,12.99,16.38,16.66,18.96,21.06,25.85,14.4325,11.06,19.08
ENSG00000000938.12_FGR,0,0.2,0,0,0.36,0.21,0,0,0,0.1875,0.21,0
ENSG00000000971.15_CFH,0.76,0.29,0,0,0,0,0,0,0,0,0,0.15
ENSG00000001036.13_FUCA2,22.93,35.96,33.29,44.41,51.69,42.37,27.96,31.6,29.65,43.555,41.21,32.75
ENSG00000001084.11_GCLC,7.38,17.7,15.67,46.14,41.52,36.66,14.9,18.71,17.24,40.195,41.925,13.25
ENSG00000001167.14_NFYA,26.46,39.15,39.93,27.81,28.41,22.69,32.3,38.04,30.45,19.97,22.275,35.31
ENSG00000001460.17_STPG1,0.95,1.59,1.47,3.21,10.19,9.59,2.74,3.54,3.57,13.845,5.87,1.73
ENSG00000001461.16_NIPAL3,0.65,1.04,1.6,3.4,4.39,4.89,1.1,0.58,0.51,4.5425,4.21,0.96
ENSG00000001497.16_LAS1L,23.23,33.62,33.43,61.14,58.25,58.2,44.45,41.39,45.99,59.01,43.935,39.31
ENSG00000001561.6_ENPP4,0.17,0.35,0.19,1.3,1.64,1.95,0.13,0.08,0,2.2775,1.075,0.27
